"ID"	"Completeness"	"Contamination"	"Strain.heterogeneity"	"# contigs (>= 0 bp)"	"# contigs (>= 1000 bp)"	"# contigs (>= 5000 bp)"	"# contigs (>= 10000 bp)"	"# contigs (>= 25000 bp)"	"# contigs (>= 50000 bp)"	"Total length (>= 0 bp)"	"Total length (>= 1000 bp)"	"Total length (>= 5000 bp)"	"Total length (>= 10000 bp)"	"Total length (>= 25000 bp)"	"Total length (>= 50000 bp)"	"# contigs"	"Largest contig"	"Total length"	"GC (%)"	"N50"	"N90"	"auN"	"L50"	"L90"	"# N's per 100 kbp"	"o_antigen"	"h1"	"serogroup"	"serovar"	"Predicted.antigenic.profile"	"Predicted.serotype"	"ST"
"95"	"SRR17143607"	99.71	0.15	0	65	38	32	28	26	18	4858035	4849890	4837105	4811942	4785430	4490664	45	678933	4854071	52.11	332244	76889	339383.1	6	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"96"	"SRR17249614"	99.71	0.07	0	71	36	24	22	21	16	4866396	4856304	4823312	4809643	4792789	4609094	42	745449	4859722	52.1	401553	88873	403120.1	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"97"	"SRR17518181"	99.71	0.15	0	67	33	26	23	21	16	4840409	4829238	4815655	4799030	4763189	4569258	42	678927	4834946	52.11	359601	88873	366012.3	6	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"98"	"SRR17518186"	99.71	0.07	0	62	31	25	23	20	15	4841394	4831938	4816847	4805139	4749546	4550646	38	494171	4836119	52.12	351531	153576	337618.3	6	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"99"	"SRR17660648"	99.71	0.07	0	58	29	23	22	20	16	4759117	4750376	4737700	4731409	4700116	4554049	36	678598	4754557	52.17	370847	106541	361831.5	6	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"100"	"SRR17696761"	99.71	0.07	0	37	31	28	26	23	18	4819096	4816516	4808704	4797873	4749073	4574734	32	746634	4817077	52.12	265018	114794	362335	5	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"101"	"SRR17773990"	99.71	0.07	0	90	63	55	49	37	30	4810749	4803000	4782805	4737688	4531719	4247673	69	285327	4806557	52.21	180634	47437	161385.1	11	32	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"102"	"SRR18101285"	99.71	0.22	0	66	38	30	27	25	18	4823295	4814998	4795223	4769608	4743253	4480858	45	565929	4819148	52.14	331930	68074	335377.7	6	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"103"	"SRR18233382"	99.71	0.15	0	90	63	54	47	40	30	4841616	4833826	4810530	4764333	4637626	4249430	69	319920	4837383	52.17	157207	45012	166530.7	11	33	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"104"	"SRR18686617"	99.71	0.07	0	72	42	35	33	29	21	4844954	4835920	4819024	4806961	4733866	4440159	49	419489	4840101	52.12	299346	73602	253320	7	20	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"105"	"SRR19067400"	99.71	0.07	0	35	34	32	29	25	20	4833348	4833159	4825164	4805491	4745642	4565948	34	648037	4833159	52.1	401533	67633	343396.7	5	17	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"106"	"SRR19087284"	96.62	0.07	0	58	38	34	33	29	23	4739016	4733103	4724887	4718596	4645438	4407144	42	417005	4735592	52.11	299408	53938	259959.5	7	21	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"107"	"SRR19397124"	99.71	0.07	0	60	29	22	21	20	14	4859080	4849713	4833094	4826803	4804003	4583173	36	750219	4853894	52.12	405539	88873	437275.8	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"108"	"SRR20110353"	99.71	0.07	0	107	83	74	61	46	34	4821166	4814623	4786802	4698748	4423351	3978253	87	432358	4817112	52.25	105210	28805	142048.1	13	43	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"109"	"SRR20423196"	99.71	0.07	0	71	33	27	23	22	18	4849032	4837314	4824972	4802572	4789999	4645826	42	544606	4843318	52.12	332179	120826	321767.4	6	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"110"	"SRR21594963"	99.71	0.07	0	63	32	26	25	23	19	4827227	4819956	4801423	4795450	4766090	4625023	36	746500	4822398	52.11	400584	76883	379274.6	5	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"111"	"SRR22284366"	99.71	0.07	0	72	39	32	27	25	17	4849429	4838980	4822212	4791029	4758544	4434632	47	678897	4844007	52.12	401544	73666	358326.9	5	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"112"	"SRR23043675"	99.71	0.07	0	62	32	23	21	19	14	4855521	4845866	4822356	4811044	4770568	4571671	40	678921	4850867	52.11	405539	153576	386767.3	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"113"	"SRR23043684"	99.71	0.29	0	67	39	25	23	22	17	4855108	4846175	4811766	4799922	4787354	4592954	46	494170	4850664	52.11	331993	153575	316392.7	6	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"114"	"SRR23756333"	99.67	0.07	0	65	36	29	26	24	20	4832686	4825463	4806657	4781117	4749679	4603394	41	609610	4828343	52.12	331226	73602	329698.6	6	17	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"115"	"SRR23756483"	99.71	0.07	0	67	39	30	27	24	19	4835987	4826357	4800707	4778161	4724828	4556601	47	745779	4831907	52.12	405374	73555	366067.1	5	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"116"	"SRR23756495"	99.71	0.07	0	85	51	39	37	31	24	4825015	4817060	4784664	4772387	4667883	4422355	54	419301	4818858	52.13	222533	67904	237912.3	8	23	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"117"	"SRR23756632"	99.67	0.07	0	66	38	31	29	24	20	4825021	4817794	4801866	4790563	4704440	4558156	43	477309	4820674	52.13	320189	73663	296104.3	6	17	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"118"	"SRR23756640"	99.67	0.07	0	65	33	25	24	22	17	4835003	4825756	4806191	4800831	4763824	4583678	41	741956	4830768	52.11	405373	74113	418540.2	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"1552"
"119"	"SRR23756668"	99.71	0.07	0	57	28	22	20	19	15	4842719	4834939	4821673	4810253	4787110	4640686	34	678891	4838375	52.11	405380	153514	387801.3	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"120"	"SRR24807656"	99.71	0.07	0	69	31	26	21	20	14	4856615	4845215	4832929	4801105	4785802	4566470	41	743963	4851612	52.11	405447	88873	437655.3	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"121"	"SRR25161109"	99.71	0.15	0	65	34	26	23	20	15	4815947	4806500	4787835	4771096	4731478	4537261	40	740026	4810100	52.15	405539	88873	412791.6	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"122"	"SRR25926991"	99.71	0.07	0	91	66	61	53	46	35	4835275	4828206	4815910	4759187	4614914	4238401	71	348360	4831207	52.19	109963	43166	153900.1	12	38	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"123"	"SRR26453221"	99.71	0.07	0	64	29	20	19	18	14	4841955	4831390	4810315	4804665	4789734	4643407	38	743864	4837163	52.12	405535	153563	444147.4	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"124"	"SRR26453224"	99.71	0.07	0	62	27	21	19	18	14	4846123	4835701	4819506	4807215	4792448	4646191	36	743458	4841542	52.11	405511	153582	443617.1	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"125"	"SRR26453262"	99.71	0.07	0	63	26	21	18	18	14	4850419	4839565	4828403	4812415	4812415	4666158	35	743597	4845406	52.11	405511	153581	445974	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"126"	"SRR26453291"	99.71	0.07	0	65	29	22	20	18	14	4847502	4836783	4816740	4806306	4774130	4627873	38	743897	4842624	52.11	405511	153516	441642.1	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"127"	"SRR26453305"	99.71	0.07	0	66	29	22	21	20	16	4843648	4832109	4811566	4805593	4793679	4647423	39	678902	4838716	52.11	401491	88873	405140.5	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"128"	"SRR26825704"	99.71	0.07	0	68	32	23	22	21	15	4847109	4836635	4815277	4809790	4794534	4573772	41	748886	4842408	52.11	405535	88922	431849.4	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"129"	"SRR26825705"	99.71	0.07	0	65	30	20	20	19	13	4839091	4828561	4804849	4804849	4789916	4569133	39	744447	4834334	52.12	405535	153563	443955.2	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"130"	"SRR26825713"	99.71	0.07	0	64	30	21	20	19	15	4842141	4831377	4810799	4804868	4789970	4643606	40	744031	4837516	52.12	405535	104745	439037.2	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"131"	"SRR26825714"	99.71	0.07	0	63	29	22	20	19	15	4840111	4829572	4813054	4800966	4789254	4642890	40	743960	4836373	52.13	405370	88923	436521.6	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"132"	"SRR26826506"	99.71	0.07	0	62	29	21	19	18	14	4846630	4836711	4820244	4808398	4792718	4646345	38	746584	4842354	52.12	405768	153567	444546.5	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"133"	"SRR26904504"	99.41	0.15	0	68	38	30	28	25	20	4846177	4836521	4817020	4804459	4744608	4546789	46	420687	4841522	52.11	325838	88873	278501.5	7	17	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"134"	"SRR26904505"	99.71	0.12	0	66	36	27	25	24	20	4868507	4858838	4835017	4823225	4801731	4651515	44	494170	4863839	52.12	303095	88873	294175.7	7	17	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"135"	"SRR27708424"	99.71	0.07	0	140	117	99	86	67	37	4820175	4813277	4758465	4671205	4358341	3300066	123	211090	4816834	52.23	71902	25124	80287.8	23	67	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"136"	"SRR27714940"	99.71	0.07	0	60	37	29	25	23	18	4830330	4823592	4805174	4773753	4733866	4545603	42	609068	4826928	52.12	401502	73602	347136.4	6	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"137"	"SRR27714941"	99.71	0.15	0	53	43	37	32	28	23	4811875	4807951	4789020	4752804	4694789	4506137	47	609342	4810868	52.13	261975	68136	266775	7	20	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"138"	"SRR27714943"	99.71	0.07	0	56	26	21	20	18	14	4840443	4830973	4816529	4810238	4778917	4628701	34	746870	4835829	52.11	405539	153576	443152.2	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"139"	"SRR27779120"	99.71	0.07	0	60	30	23	21	19	15	4866912	4857155	4842633	4828805	4805385	4659318	38	739655	4862156	52.11	405528	88873	435854.2	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"140"	"SRR28098922"	99.71	0.07	0	126	97	77	72	52	36	4819132	4810536	4742499	4710460	4350624	3750750	104	228016	4814717	52.25	99240	26073	100535.3	18	52	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"141"	"SRR28098931"	99.71	0.07	0	99	73	62	56	47	31	4833179	4825135	4795793	4748547	4592517	3905769	79	327864	4828804	52.18	107661	43111	141280.3	14	41	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"142"	"SRR28160454"	99.41	0.07	0	30	28	26	25	22	18	4799984	4799679	4792731	4787520	4740262	4592342	28	835517	4799679	52.12	367254	88919	402649.6	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"143"	"SRR28323407"	99.71	0.07	0	60	32	23	21	19	16	4870730	4862620	4843994	4832633	4809137	4680278	37	784050	4865665	52.1	331795	122973	413183.2	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"144"	"SRR29045873"	99.71	0.07	0	54	29	23	22	21	17	4838566	4831977	4817679	4812418	4796939	4650718	34	678873	4835091	52.11	396571	88874	367943	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"145"	"SRR29046295"	99.71	0.07	0	78	51	41	38	36	27	4928821	4921589	4892004	4874215	4842138	4541515	57	419033	4925025	52.1	224160	60860	224589.4	8	26	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"146"	"SRR29047886"	99.71	0.07	0	67	37	28	24	22	17	4839814	4831751	4806914	4782214	4750673	4566323	43	678864	4835187	52.12	396491	85355	353479.5	5	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"147"	"SRR29047899"	99.71	0.07	0	69	38	30	29	26	19	4824566	4815629	4792731	4786440	4732638	4487960	46	494169	4820723	52.12	362416	67904	310306.9	6	17	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"148"	"SRR29091945"	99.41	0.07	0	32	32	31	30	27	22	4805439	4805439	4801037	4795818	4746762	4559656	32	746150	4805439	52.11	223518	71874	335529.9	6	19	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"149"	"SRR29369522"	99.71	0.15	0	70	40	32	30	27	22	4843517	4834496	4814504	4803126	4755257	4578435	47	419487	4838677	52.12	327380	76889	267986.3	7	19	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"150"	"SRR29369532"	99.71	0.15	0	79	45	37	31	25	21	4835457	4824841	4806263	4769235	4667064	4520997	52	599299	4829218	52.09	268634	76889	274468.9	7	19	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"151"	"SRR29425127"	99.41	0.07	0	33	30	29	28	26	22	4797125	4796222	4791820	4786713	4750185	4607757	30	632125	4796222	52.12	230854	80433	295942	7	18	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"152"	"SRR29481989"	99.71	0.07	0	56	32	27	26	24	18	4900685	4894279	4883027	4876736	4845554	4626490	35	792533	4896095	52.09	401526	76900	385778.2	5	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"153"	"SRR29752489"	99.71	0.07	0	58	29	22	21	20	15	4872103	4862543	4845699	4839408	4817865	4634824	36	740312	4867444	52.09	405540	88872	434215.2	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"154"	"SRR29752490"	99.71	0.07	0	104	43	32	29	25	18	4955513	4932451	4902524	4882676	4817058	4556400	63	494183	4946232	52.11	313301	76883	293268.4	7	17	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"155"	"SRR29752491"	99.71	0.07	0	104	47	33	30	23	16	4959134	4937814	4900688	4880976	4774459	4500236	67	678612	4951498	52.1	313301	76883	330525.2	6	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"156"	"SRR29752492"	99.71	0.07	0	90	38	28	26	23	15	4966703	4946390	4925177	4913467	4864955	4573344	57	678861	4959231	52.09	405540	76883	372712	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"157"	"SRR29752493"	99.48	0.07	0	106	80	55	41	31	24	4891953	4882462	4813067	4715841	4522365	4239639	88	403723	4888027	52.1	201620	45154	203744	9	28	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"158"	"SRR29752494"	99.71	0.07	0	56	33	24	22	21	14	4886864	4879072	4856068	4842428	4827007	4587546	39	749687	4883048	52.16	405112	88873	435369.6	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"159"	"SRR29752495"	99.71	0.07	0	115	46	32	29	27	18	4967782	4945888	4918763	4899794	4864158	4530053	64	544543	4958026	52.08	313301	72655	308309.7	6	17	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"160"	"SRR30477736"	99.71	0.07	0	51	28	22	20	19	16	4840846	4832516	4817107	4804932	4792936	4671151	35	746697	4837489	52.12	432356	104848	436395.7	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"161"	"SRR30477737"	99.71	0.07	0	62	34	24	23	21	17	4845513	4837757	4811175	4805618	4773593	4627181	40	678610	4841159	52.12	401493	76883	379588.6	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"3734"
"162"	"SRR30477738"	99.71	0.07	0	54	27	21	19	17	14	4834903	4824783	4806672	4795260	4760087	4639370	35	736974	4830734	52.1	432198	153573	444165.4	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"4030"
"163"	"SRR30477739"	99.71	0.07	0	58	36	27	24	22	15	4890518	4882193	4856276	4839723	4804684	4549410	43	746485	4887065	52.17	405112	88873	424790.8	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"164"	"SRR30477740"	99.71	0.07	0	56	32	26	23	21	16	4887066	4878349	4862821	4843861	4812091	4631607	39	753856	4883314	52.16	405112	88873	427932.9	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"165"	"SRR30477741"	99.71	0.07	0	71	39	32	30	27	19	4758539	4748610	4730974	4719440	4666932	4385619	45	494066	4753196	52.16	330157	60675	294474.2	6	18	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"166"	"SRR30477742"	99.71	0.07	0	62	31	25	22	21	16	4957430	4946652	4927805	4908211	4888356	4707698	40	746608	4953183	52.13	405112	87077	425989.9	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"167"	"SRR30477743"	99.71	0.07	0	57	31	25	22	20	15	4881541	4872129	4857026	4838739	4808213	4625836	39	744170	4877614	52.09	401490	153512	392851.1	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"168"	"SRR30477744"	99.71	0.07	0	53	32	26	22	21	14	4883064	4875433	4859541	4835011	4819620	4563118	38	739853	4879614	52.1	405540	88873	430897.5	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"169"	"SRR30477745"	99.71	0.07	0	56	33	24	22	21	16	4894452	4886115	4863949	4850594	4835664	4654951	40	751384	4890987	52.17	405113	88873	399762.2	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"-"
"170"	"SRR30477746"	99.71	0.07	0	53	31	23	22	20	16	4892638	4885598	4863976	4857685	4831488	4676187	36	752400	4889062	52.16	431931	88872	422493.6	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"171"	"SRR30477747"	99.71	0.07	0	56	31	24	21	20	15	4878786	4869538	4852052	4834196	4822146	4638890	39	678850	4875023	52.09	405540	153573	394946.3	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"172"	"SRR31203041"	99.71	0.22	0	217	101	84	70	57	35	4931503	4902953	4861293	4764976	4563652	3773518	117	362094	4914316	52.09	98266	30143	118846.5	16	52	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"173"	"SRR31203074"	99.41	0.04	0	67	34	25	22	21	16	4751328	4740916	4718204	4698952	4683694	4491917	42	745211	4746160	52.23	332066	88857	396307.9	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"174"	"SRR31203080"	99.71	0.11	0	86	38	25	24	24	16	4838789	4825385	4792141	4785850	4785850	4510312	47	739617	4831099	52.15	401526	88874	375415.2	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"175"	"SRR31507111"	99.71	0.07	0	91	64	55	50	42	31	4804201	4798059	4770152	4733350	4615865	4191231	68	335095	4800312	52.21	145472	45706	164415.9	11	34	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"176"	"SRR31886003"	99.71	0.07	0	74	39	30	26	25	17	4857841	4847725	4823611	4800057	4785051	4488468	46	678905	4851906	52.11	320056	76889	333702	6	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"177"	"SRR31886040"	99.71	0.07	0	64	32	23	21	20	14	4851608	4841582	4819722	4808018	4792523	4573322	40	678903	4846584	52.11	405539	153573	386927.7	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"178"	"SRR32701819"	99.71	0.07	0	74	40	32	28	26	22	4857033	4846452	4828112	4802779	4778694	4646074	48	420325	4851453	52.12	300768	76889	271425.3	7	18	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"179"	"SRR32701820"	99.71	0.07	0	62	31	26	22	20	16	4844265	4834441	4825049	4801884	4777003	4640234	39	678905	4839442	52.12	401462	153577	370225.1	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"180"	"SRR32701822"	99.71	0.07	0	67	34	27	24	21	14	4852961	4842526	4828548	4811442	4776224	4539407	42	739628	4847527	52.11	401462	153577	422517.1	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"181"	"SRR32701823"	99.71	0.07	0	71	36	26	24	21	16	4846986	4836329	4809834	4798075	4746546	4564195	44	678680	4841330	52.12	331992	88875	368485.9	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"182"	"SRR32701824"	99.71	0.15	0	63	33	26	22	20	15	4830759	4821316	4807127	4783359	4756988	4562897	40	494170	4825497	52.16	351518	153576	340220	6	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"183"	"SRR32701853"	99.71	0.07	0	69	35	27	24	22	16	4847815	4837383	4819144	4802033	4776672	4569938	42	494135	4841722	52.11	332696	153576	322199.2	6	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"184"	"SRR33745401"	99.71	0.07	0	60	32	27	25	24	19	4834995	4824951	4812941	4801421	4790046	4606816	40	743308	4830705	52.11	405528	73990	369856.2	5	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"185"	"SRR33745402"	99.71	0.07	0	59	34	25	24	21	15	4892383	4883070	4860142	4853851	4805882	4587041	42	746532	4888612	52.17	405112	88873	429173.4	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"186"	"SRR33745403"	99.71	0.07	0	59	34	26	25	23	15	4870724	4861831	4840138	4833847	4803936	4514448	41	746871	4866796	52.16	401490	76883	410400.3	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"187"	"SRR33745404"	98.53	0.07	0	58	32	23	21	19	14	4777868	4770064	4748873	4737388	4706048	4521492	38	748895	4773700	52.11	477202	88873	436625.3	4	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"-"
"188"	"SRR33745405"	99.71	0.07	0	70	38	28	27	24	18	4925867	4916269	4887962	4880372	4818725	4592829	46	743961	4921427	52.1	331005	74518	385922.7	5	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"3734"
"189"	"SRR33745406"	99.71	0.07	0	56	33	25	23	21	15	4877373	4869543	4851130	4838479	4805121	4586308	39	746380	4873519	52.16	405112	76883	427777	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"190"	"SRR33745407"	99.71	0.07	0	59	33	27	24	19	13	4884365	4874277	4859174	4838650	4754936	4551064	42	743322	4880583	52.09	405546	88873	437149.7	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
